"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Shorts","Russell Athletic Men's Mesh Short with Pockets","Vai Gokhale","Very comfy for wearing around the house","Verified Purchase","Reviewed in Australia on 23 December 2023","4.5 out of 5 stars"
"2","Shorts","Russell Athletic Men's Mesh Short with Pockets","Tracey","Purchased these for my son as it's now summer for us... he loves how light and breathable they are for hot days.  Also very comfy!","Verified Purchase","Reviewed in Australia on 13 December 2023","5.0 out of 5 stars"
"3","Shorts","Russell Athletic Men's Mesh Short with Pockets","Kenny","These shorts are really comfortable to move around and work out with, and the pockets don't feel too small or short. Great colour too","Verified Purchase","Reviewed in Canada on 24 August 2020","5.0 out of 5 stars"
"4","Shorts","Russell Athletic Men's Mesh Short with Pockets","Diane","Super work out wear for the larger guy in  your life - fit great, great quality, very comfy!","Verified Purchase","Reviewed in the United States on 31 May 2016","5.0 out of 5 stars"
"5","Shorts","Russell Athletic Men's Mesh Short with Pockets","TheMattDaddy","Awesome! Love them. Keep me cool on hot days/runs. Draw string works well. Trimmed drawstring down a little in length as it was too long for my liking (no longer than typical with other shorts).","Verified Purchase","Reviewed in Canada on 19 October 2018","5.0 out of 5 stars"
"6","Shorts","Russell Athletic Men's Mesh Short with Pockets","Wislndixie","Very nice shorts and fit comfortably","Verified Purchase","Reviewed in the United States on 20 August 2023","5.0 out of 5 stars"
"7","Shorts","Russell Athletic Men's Mesh Short with Pockets","B","Exactly what I expected. I bought this for running and gym and it feels just fine. It's nice, light, cool, and comfortable. Fits as described on sizing chart. Would recommend for people who are looking for mesh shorts and are willing to settle on buying online.","Verified Purchase","Reviewed in the United States on 7 September 2016","5.0 out of 5 stars"
"8","Shorts","Russell Athletic Men's Mesh Short with Pockets","Giovani Montrose","Excellent quality & perfect fit, very comfortable', I'm going to order more of these.These are the 3rd pair that I've bought. They fit perfect, feel great. I'm a big guy and they just fit and look great, plus they have pockets and you can wear a pocket t-shirt and you're set to go.","Verified Purchase","Reviewed in the United States on 8 May 2015","5.0 out of 5 stars"
"9","Shorts","Russell Athletic Men's Mesh Short with Pockets","Clark Lohr","Russell Athletics makes great basketball shorts, great t-shirts, good hoodies. I'm sure there's tons of competition from other brands that are pricier and appear to be more exotic and somehow better but it's not true. Russell Athletics is good clothing--and you can get it at general merchandise stores.","Verified Purchase","Reviewed in the United States on 21 July 2022","5.0 out of 5 stars"
"10","Shorts","Russell Athletic Men's Mesh Short with Pockets","Zenguy","I prefer a basic, no-frills, inexpensive workout short for my exercise activities (about 1-1.5 hours per day, 3-4 times per week). After years of buying Champion brand, I decided to give the Russell product a try based on positive reviews. I found these to be a good value. What I like most about them is the fit, which is a bit looser and longer than the Champion model.  At 5'8"", 165 lbs with a 33 waist, medium is just perfect for me. The material is smooth and breathes well. The waist is snug enough for the shorts to stay put, but not too tight to be comfortable. I like the pockets, which I use to hold my little iPod shuffle during my workouts. Overall a solid product and sufficient for my purposes.","Verified Purchase","Reviewed in the United States on 2 March 2017","5.0 out of 5 stars"
"11","Shorts","Russell Athletic Men's Mesh Short with Pockets","ACV","Es un short muy sencillo, de buena calidad, son amplios y como para Basketball, son abajo de la rodilla de largos, muy buenos por el precio.","Verified Purchase","Reviewed in Mexico on 23 April 2017","4.5 out of 5 stars"
"12","Shorts","Russell Athletic Men's Mesh Short with Pockets","Culper","Could be a bit longer, but overall good shorts.","Verified Purchase","Reviewed in the United States on 8 February 2015","5.0 out of 5 stars"
"13","Shorts","Russell Athletic Men's Mesh Short with Pockets","Gerald Zosik","inexpensive and durable","Verified Purchase","Reviewed in Canada on 20 August 2019","3.0 out of 5 stars"
"14","Shorts","Russell Athletic Men's Mesh Short with Pockets","Amazon Customer","These shorts are great. Fit perfectly. I will be purchasing some more. Very light, and comfortable. Seeing as it is from Russell athletes  I know it is good quality.","Verified Purchase","Reviewed in the United States on 8 June 2015","5.0 out of 5 stars"
"15","Shorts","Russell Athletic Men's Mesh Short with Pockets","Steven Mason","I,really like the shorts . Fit is,good and very comfortable.Highly recommend","Verified Purchase","Reviewed in the United States on 19 December 2023","5.0 out of 5 stars"
"16","Shorts","Russell Athletic Men's Mesh Short with Pockets","Traveller","Seitenlänge 50cm, Bundweite 32-max 50cm, Beinweite 32cm, Schrittlänge 20cm, Taschengröße 28cmx19cm, Offene Taschen, Kordel im Bund, Doppeltes Mesh, NICHT Durchsichtig,","Verified Purchase","Reviewed in Germany on 12 February 2024","5.0 out of 5 stars"
"17","Shorts","Russell Athletic Men's Mesh Short with Pockets","Another Guy","These are my favourite shorts.","Verified Purchase","Reviewed in Canada on 26 January 2020","5.0 out of 5 stars"
"18","Shorts","Russell Athletic Men's Mesh Short with Pockets","Uncon Prador","Me pareció un buen artículo, la tela de siente de buena calidad y es muy fresco, cómodo de usar. La cintura ajusta perfectamente, es decir, no se mueve o se baja al pararse o sentarse y el largo me pareció el correcto, más o menos a la altura de la rodilla.","Verified Purchase","Reviewed in Mexico on 17 June 2019","5.0 out of 5 stars"
"19","Shorts","Russell Athletic Men's Mesh Short with Pockets","Sparky","Very comfortable and roomy. Cool in warm weather. No complaints. I like the burnt orange color as it's something a little different from the same old black, navy blue or primary colors.","Verified Purchase","Reviewed in the United States on 18 May 2014","5.0 out of 5 stars"
"20","Shorts","Russell Athletic Men's Mesh Short with Pockets","Katie M","I bought these as a replacement gift after a different brand turned out to be too small. These fit the recipient perfectly! Very nice product!","Verified Purchase","Reviewed in the United States on 19 December 2015","4.0 out of 5 stars"
"21","Shorts","Russell Athletic Men's Mesh Short with Pockets","The Alchemist of Wonderland","I've been using the shorts for one year now - in that span, I've lost 70 lbs.They still fit - the elastic band is solid, and can adapt to your body.I love working out in them. They look good, and they feel good.One thing is that the white ones are pretty see-through, so your underwear color will show a little bit if they are dark or flashy.","Verified Purchase","Reviewed in Canada on 17 March 2019","4.5 out of 5 stars"
"22","Shorts","Russell Athletic Men's Mesh Short with Pockets","Cliente de Amazon","Me gusto el producto!! Gracias . Seguiré mis compras cómo está la talla fue como la esperaba. Confortable al cuerpo","Verified Purchase","Reviewed in Mexico on 23 April 2018","5.0 out of 5 stars"
"23","Shorts","Russell Athletic Men's Mesh Short with Pockets","FRMA","Excelente Short para temporadas calurosas tela delgada cómodo y con mucha ventilación el estilo de Short es como de basketbol lo compre junto con el champion y este está mejor para practicar ejercicio además lo sentí de mejor Calidad.","Verified Purchase","Reviewed in Mexico on 6 June 2019","5.0 out of 5 stars"
"24","Shorts","Russell Athletic Men's Mesh Short with Pockets","Susan Broadwell","These are XL size and my waist is 38.  Perfect fit.","Verified Purchase","Reviewed in the United States on 12 February 2024","5.0 out of 5 stars"
"25","Shorts","Russell Athletic Men's Mesh Short with Pockets","R Gardner","Comfy shorts. Uk people order at least one size smaller. White ones are super see through.","Verified Purchase","Reviewed in the United Kingdom on 4 June 2021","5.0 out of 5 stars"
"26","Shorts","Russell Athletic Men's Mesh Short with Pockets","RICE FAMILY","My husband loves the fit and how light these are! These are his new favorite!","Verified Purchase","Reviewed in the United States on 7 April 2023","4.0 out of 5 stars"
"27","Shorts","Russell Athletic Men's Mesh Short with Pockets","Cliente de Amazon","La tela muy bien las tallas olgadas pero bien","Verified Purchase","Reviewed in Mexico on 4 December 2019","5.0 out of 5 stars"
"28","Shorts","Russell Athletic Men's Mesh Short with Pockets","Antonio","Muy bueno, todo bien, el tiempo y todo, la calidad, la tela, la talla, todo es tal cual lo pedi","Verified Purchase","Reviewed in Mexico on 16 September 2017","4.0 out of 5 stars"
"29","Shorts","Russell Athletic Men's Mesh Short with Pockets","sallyftw","I don't usually review items promptly but the customer service is something to talk about.  I ordered a size L and they sent me an M.  The paper tag said L but the actual tag on the shorts said M so the mix-up was understandable.  I ordered a size L a second time so they would arrive on time for my boyfriend's birthday and emailed amazon about returning the size M.  I heard back right away from the seller and was told that my money will be refunded and that I do not have to go through the hassle of returning the shorts.The new shorts that were correctly labeled size L on both tags came in today and they are great.  The Texas Orange is a beautiful burnt copper color and I couldn't be happier about it.  The shorts themselves are long which is great because my boyfriend is 6ft 4 and has trouble with basketball shorts being too short sometimes, but these will look great on him.  The pockets are a big plus because he likes to have a place to put his keys and phone when he goes out.  The elastic on the shorts is really strong but very stretchy meaning that they will be comfortable but won't fall down.  What I loved the most about the shorts is how thin the material is.  My boyfriend gets very sweaty and always complains about shorts being 'too hot' but these are so airy and light that I think he will love them.  I will be ordering in more colors after I get his take on these shorts.","Verified Purchase","Reviewed in the United States on 27 September 2014","5.0 out of 5 stars"
"30","Shorts","Russell Athletic Men's Mesh Short with Pockets","Deon Davis","Very comfortable! I'm going to buy all colors.","Verified Purchase","Reviewed in the United States on 8 August 2016","5.0 out of 5 stars"
"31","Shorts","Russell Athletic Men's Mesh Short with Pockets","Jonathan Bolanos","Compre varios antes que esté , y una vez más súper feliz. Cómodos, amplios, y las costuras y el resorte excelente.","Verified Purchase","Reviewed in Mexico on 10 October 2023","4.5 out of 5 stars"
"32","Shorts","Russell Athletic Men's Mesh Short with Pockets","Haron Deinla","These shorts were definitely worth the buy. A lot better than I had expected, and here's why:-the shorts a very comfy. That may be due to the mesh being a little bit bigger in perforations as compared to other mesh shorts. The perforations are big enough to provide more than enough breathing room and ventilation, but not so big that the shorts are super-see through.-the material not only feels good but looks good. I ordered the green colorway and it looks really nice. I'm even planning on making another order, that is if I decide whether or not these are better quality than Champion branded shorts.-it has pockets which is a must for me when it comes to shorts I plan to use on a consistent basis to be able to hold my keys and wallet.-the drawstring is also strong enough so that if I were to have my phone, keys and wallet in my pockets, the shorts won't drop.All in all, these shorts are really nice, both for home use and outdoor use for walking and sports alike.If I were able to help you make a purchase, or help you prevent from making one you'd regret. Then all I ask is you thumbs up my review saying it was helpful, because knowing I helped someone out means a lot.","Verified Purchase","Reviewed in Canada on 10 August 2016","5.0 out of 5 stars"
