"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Mrs susan","These are great t shirts, well made and good size.Washed well and did not shrink at all. Would recommend.","Verified Purchase","Reviewed in Australia on 11 January 2024","4.4 out of 5 stars"
"2","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Allan R Ricci","Great deal on a genuine Hanes product.Next day delivery.","Verified Purchase","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars"
"3","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Mrs susan","Even unwrapping these t-shirts I knew they were going to be big. Upon donning them I was right, they are huge. In fact I bought another brand at the same time also in XXL and laying one on top of the other showed a significant difference in size. The Hanes Beefy shirts are at least 3XL using other makes as a guide. It's not a huge issue, I wear tees in winter for layering, but they're so big they look daggy at the neck, the only part that shows. Made in Haiti so it's gratifying to see manufacturing in poor countries adjacent to the US. They are thick as advertised, but in the absence of significant shrinkage I'd go a size down, hoping of course that the size difference is consistent across the Hanes Beefy range (i.e. one size too big). The image shown has Aquagard T-shirts in XXL on top of the Hanes in XXL and the difference is significant- and the yellow shirts were larger than other XXL tees I've purchased recently.","Verified Purchase","Reviewed in Australia on 11 January 2024","3.0 out of 5 stars"
"4","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","PM","Nice t.","Verified Purchase","Reviewed in Australia on 25 February 2024","5.0 out of 5 stars"
"5","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Fred Rubble","I bought both types of these tshirts and the not beefy ones are a bit see through. Not these  ones. Well sized and comfortable.","Verified Purchase","Reviewed in Australia on 25 April 2021","5.0 out of 5 stars"
"6","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Fred Rubble","Great quality but I ordered large which is my usual size in Europe/Australia and they are way too big - too long by 10 cms, and the shoulders are far too wide and the arm holes are huge. The only area they fit is across the chest. Returned.","Verified Purchase","Reviewed in Australia on 11 November 2022","4.0 out of 5 stars"
"7","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Littleron","Hanes Beefy T has always been a nostalgic recognised brand and good to see time has not diminished that view, heavy weight cotton, great fit and well finished.","Verified Purchase","Reviewed in Australia on 4 May 2023","4.0 out of 5 stars"
"8","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","roger hills","These are comfortable and long-wearing t-shirts.  Perfect for wearing with jeans or under a casual shirt with chinos.  Recommended.","Verified Purchase","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars"
"9","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Allan R Ricci","The quality is always good with Haynes T-Shirts but the sizing is terrible. I ordered XL and they are 48"" chest size and not 42-44"". Very disappointed.Gary Playfoot","Verified Purchase","Reviewed in Australia on 6 February 2020","5.0 out of 5 stars"
"10","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","chris harrison","The only ones you can be sure will keep their neck shape","Verified Purchase","Reviewed in Australia on 21 July 2020","3.0 out of 5 stars"
"11","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Mrs susan","Great boxy fit at 2XL on 6’3”","Verified Purchase","Reviewed in Australia on 11 January 2024","4.4 out of 5 stars"
"12","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Allan R Ricci","I ordered  2 different colours in XL - red and blue.  They arrived seperately and the red was manufactured in Ethiopia while the blue was manufactured in Haiti. I have been wearing and washing both colours for a few months and find that the red has way too big a neck opening  compared to the blue and hence does not feel as good a fit around the neck and shoulder area making me not want to wear the red at all.I am very happy with the quality of the fabric and really like the Haynes beefy T's , but I am now wary of ordering some more as I dont know which colour/manufacturer combinations are which.You should expect consistent quality between the manufacturing locations.","Verified Purchase","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars"
"13","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Ethan Christensen","I like Beefy-T tee shirts but the sizes keep changing.I had a 3XL with perfect fit, then bought two more 3XLs which fit like 4XLs.Won't be buying T-shirts from Amazon again.","Verified Purchase","Reviewed in Australia on 10 December 2022","3.0 out of 5 stars"
"14","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Tony R","Great t-shirts. Keeps the shape specially around the neck.","Verified Purchase","Reviewed in Australia on 29 December 2020","5.0 out of 5 stars"
"15","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Clint Tevlin","Fits very well","Verified Purchase","Reviewed in Australia on 21 January 2023","2.0 out of 5 stars"
"16","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Ric","Great product, keeps its shape, good length and quality","Verified Purchase","Reviewed in Australia on 10 August 2020","1.0 out of 5 stars"
"17","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Roderic Morgan","Comfortable and long lasting.","Verified Purchase","Reviewed in Australia on 4 November 2021","4.0 out of 5 stars"
"18","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Isobelle Wormleaton","Fitted well and good material","Verified Purchase","Reviewed in Australia on 28 April 2021","5.0 out of 5 stars"
"19","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Michael Arber","Only one shirt turned up, supposedly a 2 pack.","Verified Purchase","Reviewed in Australia on 4 June 2020","5.0 out of 5 stars"
"20","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Rob J","Good value and still the best T-shirt available today.","Verified Purchase","Reviewed in Australia on 5 August 2020","5.0 out of 5 stars"
"21","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Mrs susan","Way too big, American sizes seem to be 4x bigger than Australian sizes. Sleeves nearly come down to my wrists. Price to return them costs more than the shirts.","Verified Purchase","Reviewed in Australia on 11 January 2024","4.4 out of 5 stars"
"22","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Allan R Ricci","Very well made","Verified Purchase","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars"
"23","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Jye","Very disappointed. These t-shirts were only about cotton 60% cotton and consequently felt terrible and didn’t tighten up to fit the body after being washed and soften up like the old Hanes Beefy Ts did. I threw them out.","Verified Purchase","Reviewed in Australia on 8 September 2020","3.0 out of 5 stars"
"24","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Cheryl","An old school quality T thicker than most well made pre shrunk and true to size - not so much of a vest type T unless your layering in colder climates or it’s an under open shirt type situation","Verified Purchase","Reviewed in Australia on 13 April 2019","1.0 out of 5 stars"
"25","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","T-shirt guy","Hanes beefy t , fits great,  thick cotton. not quite as I remember them as the neck collar is a little larger than I thought, but none the less good shirt","Verified Purchase","Reviewed in Australia on 27 November 2019","5.0 out of 5 stars"
"26","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Craig","Nice Soft fabric, love a bit space of freedom","Verified Purchase","Reviewed in Australia on 28 June 2021","1.0 out of 5 stars"
"27","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Dominique S.","Excellent quality, great fit","Verified Purchase","Reviewed in Australia on 21 July 2020","5.0 out of 5 stars"
"28","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","ana","Perfect","Verified Purchase","Reviewed in Australia on 21 March 2021","5.0 out of 5 stars"
"29","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Lori W","My husband was frustrated with other brands of T-Shirts being too thin and thus, not very attractive to wear out and about.  I suggested he try a Hanes Beefy-T, so he got a white one and loves it so much, I've purchased several in different colors for his Christmas gift.  As well made and long-wearing as these are, he should be set for quite some time.  Beefy-Ts are, without a doubt, the absolute best T-Shirts you can buy, and you definitely won't regret the purchase.  These are all cotton, so if you're vacillating about which size to buy, go with the larger one just to be sure it'll stiff fit beautifully after going through the washer and dryer.","Verified Purchase","Reviewed in Australia on 19 January 2021","5.0 out of 5 stars"
"30","Shorts","Hanes Men's Short Sleeve Beefy T (Pack of 2)","Tgm","I seldom wear t-shirts for anything other than walking the dog and sleeping in.  I dislike the seams, tags and stretching that after a short while distorts the fit and thus the look of the shirt.  The heavy Beefy-T has none of the aforementioned issues.  It's extremely well made with just the right weight fabric to resist stretching AND tagless.  The fabric wears like iron to the point where the neckline of my favorite Beffy-T sleep shirt wore through after 8 years use before requiring replacement.  If you're buying expensive T-shirts from American  Apparel of the like you are wasting large sums of money.","Verified Purchase","Reviewed in Australia on 9 December 2020","5.0 out of 5 stars"
