"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","Sunny Boey SG","Comfortable lightweight Bermudas.  It has stretchy waist so remember to get a size smaller.","Verified Purchase","Reviewed in Singapore on 5 August 2022","4.6 out of 5 stars"
"2","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","Kevin H","At 6'7"" I find it hard to find shorts that fit well, and don't look too short due to my height, and these look great. Super comfortable, great in hot weather as made of quick dry material and fit loose Super affordable price as well. Have already bought 4 more pairs.","Verified Purchase","Reviewed in Canada on 2 February 2024","5.0 out of 5 stars"
"3","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","hector muñoz","El short es muy cómodo, la talla queda a la perfección. La cintura tiene elástico y la tela se estira. Estoy pensando seriamente en comprar otro. Vale la pena 100%.","Verified Purchase","Reviewed in Mexico on 13 May 2022","5.0 out of 5 stars"
"4","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","usernotaloser","I bought a very similar pair of Wrangler shorts at Wal-Mart and the fabric was much thicker and better quality than this pair.  These feel kinda cheap; the fabric feels like it could tear fairly easily while the store bought pair, despite being used heavily for cycling for months and washed many times are now faded but the fabric and stitching are fine.Edit to my previous post ...My previous opinion was that I wouldn't buy these again but now after using them for some time, the fabric is holding out very well .... still feel very light and the mesh pockets are a little shallow.  Still a decent short.  I do hope they come out with the original pair of Wrangler shorts I bought almost two years ago.  They have a much sturdier fabric though a little heavy in really hot summer days.  Sturdiness and good pockets mean more than style etc. to me.","Verified Purchase","Reviewed in Canada on 29 April 2020","5.0 out of 5 stars"
"5","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","Lornie11","Bought 1 just to try out and loved 'em. They were a perfect fit for me. Lightweight, stretchy in all the right places and so comfortable. Will be buying 2 more pairs for this summer if/when they go on sale.","Verified Purchase","Reviewed in Canada on 13 February 2024","4.0 out of 5 stars"
"6","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","Toño","Buena tela muy comoda","Verified Purchase","Reviewed in Mexico on 3 July 2022","5.0 out of 5 stars"
"7","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","Osvaldo Tovar","Tela comoda, tiene un par de bolsillos con cierre, en la parte de abajo","Verified Purchase","Reviewed in Mexico on 1 August 2022","4.0 out of 5 stars"
"8","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","Darlut & MyCorn","Size: I'm legit 38"" if not a little more. A lot of the reviews say true to size so I ordered the 38"".  If I lost a pound and jumped up and down they would have fallen to my ankles.  I guess if you like wearing a belt and like that really loose feel then stick to the 38"".  I'm big shoulders no butt so I need that little bit of extra tension to keep my drawers up. I reordered the 36"" and they fit great. Puts the ""Flex"" to a little but of test but that's what it's there for and it's comfortable. Also the smaller size looks better because the legs aren't so large. There was a huger difference between the 38"" and 36"".Performance: I usually graduate my clothes to ""yard gear"" after they have had a year or so of normal wear. I immediately put these to the test doing yard work and I will wear these from now on.  They were light which kept me cool, the waist was flexible but comfortably snug and the front pockets were deep enough to hold my phone with no issues. I push-mow a large yard and bag the clippings. My neighbors will appreciate that now when I bend over to remove the bagger they won't be confused that a plumber is doing my yardwork. Highly recommend these and also recommend the Flex version of the Wrangler jeans that are sized in a similar fashion.  I have bought another pair and will likely buy a few more. I would even work out at the gym in these when that time comes... maybe having these will motivate me to get there.","Verified Purchase","Reviewed in the United States on 7 April 2021","5.0 out of 5 stars"
"9","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","Manuel Adrian Muciño Herrera","Cómodo y elástico","Verified Purchase","Reviewed in Mexico on 12 May 2022","5.0 out of 5 stars"
"10","Shorts","Wrangler Mens Performance Comfort Flex Waist Cargo Short Cargo Shorts","Sergio Hernandez","Acorde a la descripción, y me queda a la perfección.","Verified Purchase","Reviewed in Mexico on 26 October 2021","5.0 out of 5 stars"
