"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","nish","Real comfy and quality product","Verified Purchase","Reviewed in Australia on 27 December 2023","4.2 out of 5 stars"
"2","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Villa","Thin but it’s good enough","Verified Purchase","Reviewed in Australia on 30 December 2022","5.0 out of 5 stars"
"3","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Nadya","I washed these Tshirts once and they shrank so much so that could not be worn at all. Edged got curly as well. Poor quality","Verified Purchase","Reviewed in Australia on 4 January 2023","3.0 out of 5 stars"
"4","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Karen","Excelente compra","Verified Purchase","Reviewed in Mexico on 3 April 2023","1.0 out of 5 stars"
"5","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Verna Segui","Material is very soft and comfortable","Verified Purchase","Reviewed in Canada on 24 September 2020","5.0 out of 5 stars"
"6","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Steel Heart","Buenos materiales y la talla es tal cual debe ser","Verified Purchase","Reviewed in Mexico on 14 November 2023","5.0 out of 5 stars"
"7","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Gary","Hurrah - nice looking - very well fitting briefs - and best of all - 100% cotton. Such a great feel and comfortable to wear. I will buy more of these to be sure. Let me repeat myself - all COTTON. I remember when most briefs and undergarments were all cotton - before lycra and spandex took over. A happy and most fortunate purchase.","Verified Purchase","Reviewed in Canada on 22 September 2021","5.0 out of 5 stars"
"8","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Judith","👍","Verified Purchase","Reviewed in the United States on 22 April 2023","5.0 out of 5 stars"
"9","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","ROMINA","Calidad, precio , no encogen , y no pierden color","Verified Purchase","Reviewed in Mexico on 28 February 2023","5.0 out of 5 stars"
"10","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Alexis J. Zarraga N","I've used Nautica T-shirts for years and they're soft and comfortable. They get just a little loose but no big deal. They still look good.","Verified Purchase","Reviewed in the United States on 18 January 2017","5.0 out of 5 stars"
"11","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Miguel Arpide","Calidad y precio de la mano , cómodas y talla exacta","Verified Purchase","Reviewed in Mexico on 7 February 2024","4.2 out of 5 stars"
"12","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Amazon Customer","I've been wearing this under shirt for many years. Now a days it's pretty hard to find in retail outlets. Little on the expensive side but they last at least a year.","Verified Purchase","Reviewed in the United States on 8 January 2017","5.0 out of 5 stars"
"13","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Amazon Customer","Very comfortable","Verified Purchase","Reviewed in the United States on 11 October 2017","5.0 out of 5 stars"
"14","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Amazon Customer","The fabric in these Tshirts was very nice and soft, but of a much lighter weight than other Nautica Tshirts we've purchased. They have the Nautica logo printed on them but I don't know if they're knock-offs or the real thing. They're OK and will be worn, but we wouldn't have ordered them, or certainly not a pack of 5, if we'd known they were like this.","Verified Purchase","Reviewed in Canada on 22 December 2021","5.0 out of 5 stars"
"15","Underwear","Nautica Men's Cotton V-Neck T-Shirt-Multi Packs","Patty Schmitz","True to size. My boys say they are the best quality and are not itchy.","Verified Purchase","Reviewed in the United States on 21 February 2020","3.0 out of 5 stars"
