"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"28","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","amanda","conforme à la qualité dickies mais un poil plus serré à la ceinture que leurs pantalons pour un port decontracté voir pour une taille d eplus","Verified Purchase","Reviewed in the United Kingdom on 16 June 2018","5.0 out of 5 stars"
"29","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","paul mendoza","So what my son was looking for comfortable and casual thick material","Verified Purchase","Reviewed in Mexico on 26 December 2023","1.0 out of 5 stars"
"30","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","victor","Feel like they are made of the worst burlap sacks of your nightmares. They fit so small and even with loads of fabric softener, they probably worked like a bullet proof vest","Verified Purchase","Reviewed in France on 10 September 2018","4.0 out of 5 stars"
"31","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","TIM H","Meine zweiten Shorts von Dickies. Sie sitzen perfekt, auch wenn die Größe im Vgl. zu meinen Jeans anders ausfällt. Bei Jeans habe ich eine Bundweite von 30 und bei den Shorts brauche ich 32.","Verified Purchase","Reviewed in Australia on 7 February 2024","4.3 out of 5 stars"
"32","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","BunningsSnag","I bought these shorts last year and they are holding up well; however they could use a couple of design improvements. I work in a maintenance facility where I have to occasionally lay on my back and when I do my cell phone falls out of the side pocket on the pant leg, I suggest adding a pocket flap. Also the belt loops are so small they barely accommodate a 1 inch belt, the belt loops should be increased in size to allow larger belts like leather.","Verified Purchase","Reviewed in Australia on 25 February 2021","5.0 out of 5 stars"
"33","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","greg","Todo bien con el producto, Dickies, original, calidad, etc. El problema es que las tallas vienen reducidas. Yo uso pantalones Dickies y me queda bien la talla 32, pero esta me quedó como 28. Así que pidan 1 o 2 más grands","Verified Purchase","Reviewed in Germany on 30 June 2018","1.0 out of 5 stars"
"34","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Adam Parsons","Im 165cm in height.Weighing 65KG to 69KGUsually wear a waist size 30-31 for Jeans etc.After reading much reviews regarding this shorts, i took size 33. Overall its fits nice with a belt on.I suggest you took 2 size up.Example if you wore 34, take 36 or 37.Because if you take the size you are wering right now, tha chances are you CAN'T fit.","Verified Purchase","Reviewed in the United States on 21 February 2024","5.0 out of 5 stars"
"35","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","David","Ich hab mir die Hose in meiner Standartgröße 32 bestellt und nicht mal ansatzweise zu bekommen. Ca. 3cm fehlten, dass sie überhaupt zu geht. Sie fällt mindestens zwei Größen kleiner aus und als ich sie mir nochmals in 34 bestellt habe stand dort auf dem Etikett zwar 34, aber von der Größe das exakt selbe Ergebnis wie bei der letzten und zwar dass 3cm fehlten, um sie überhaupt zu zu bekommen... Sehr enttäuschendes Ergebnis. Hab da definitiv mehr erwartet als so eine schwache qualitative Leistung.","Verified Purchase","Reviewed in Mexico on 20 February 2024","3.0 out of 5 stars"
"36","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Starscream","Fit great, comfortable","Verified Purchase","Reviewed in Singapore on 29 July 2022","3.0 out of 5 stars"
"37","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Markus Reischmann","I’ve worn dickies my whole life and it’s getting harder and harder to find  the good thick kind in department stores. A lot of stores are selling the cheaper thinner versions with thinner material and thin little belt loops so I’m happy to see Amazon selling the good kind for a fair price. My only disappointment was the clasp above the zipper fell off sometime during the first day I wore them. I use a belt so my pants stay up  but it sucks not being able to clip/button the waist like normal","Verified Purchase","Reviewed in Germany on 4 September 2018","4.0 out of 5 stars"
